"wait","block","temp_daily","rain_interval","rain_heavy_interval","snow_interval","rain_bool","rain_heavy_bool","Prop.commuters","Prop.drivers","Pdrive","Income","Rent","Gini","Prop.vacant","commute.time","hours.worked","Pmoved","pWhite","pHispanic","pPoverty","pRetIncome","pOwned","ADDDATE_morning","ADDDATE_wday","ADDDATE_summer"
2.708506944,"110010095013",58.09259259,0.5,0.25,0,TRUE,TRUE,0.339751184834123,0.106931279620853,0.314734089,40040,1434,0.4289,0.0839363241678727,28.1,31.3,0.259280493,0.5121,0.0675355450236967,0.252764612954186,0.145339652448657,0.259083728278041,"0","Mon","0"
1.916030093,"110010102001",58.09259259,0.333333333,0,0,TRUE,FALSE,0.593869731800766,0.157088122605364,0.264516129,112563,1786,0.3825,0.055452865064695,25.3,44.8,0.235580829,0.4875,0.0306513409961686,0.0332681017612524,0.244618395303327,0.643835616438356,"0","Mon","0"
7.832511574,"110010099031",58.09259259,0.333333333,0.111111111,0,TRUE,TRUE,0.454754601226994,0.279141104294479,0.613827993,51250,841,0.3748,0.0388349514563107,36.6,39.3,0.129884425,0.0322,0.0184049079754601,0.185858585858586,0.0767676767676768,0.436363636363636,"0","Mon","0"
8.816712963,"110010020022",47.00833333,0.5,0.1,0.1,TRUE,TRUE,0.554319371727749,0.278795811518325,0.502951594,45139,1091,0.4817,0.0689655172413793,31.9,39.6,0.108818979,0.2932,0.227094240837696,0.194847020933977,0.154589371980676,0.394524959742351,"0","Mon","0"
6.115023148,"110010013012",68.053125,0.285714286,0.142857143,0,TRUE,TRUE,0.654357459379616,0.487444608567208,0.744920993,236705,0,0.5169,0.171348314606742,31.1,42.2,0.247002997,0.6514,0,0,0.267796610169492,0.894915254237288,"1","Tue","0"
1.382638889,"110010102001",52.31666667,0.5,0,0,TRUE,FALSE,0.593869731800766,0.157088122605364,0.264516129,112563,1786,0.3825,0.055452865064695,25.3,44.8,0.235580829,0.4875,0.0306513409961686,0.0332681017612524,0.244618395303327,0.643835616438356,"1","Wed","0"
1.377280093,"110010102001",52.31666667,0.5,0,0,TRUE,FALSE,0.593869731800766,0.157088122605364,0.264516129,112563,1786,0.3825,0.055452865064695,25.3,44.8,0.235580829,0.4875,0.0306513409961686,0.0332681017612524,0.244618395303327,0.643835616438356,"1","Wed","0"
8.016875,"110010020021",42.34,0.555555556,0,0.222222222,TRUE,FALSE,0.450651769087523,0.269087523277467,0.597107438,99028,1043,0.4817,0.0810055865921788,31.9,39.6,0.108818979,0.2933,0.242085661080074,0,0.252279635258359,0.857142857142857,"0","Fri","0"
6.82119213,"110010009012",58.09259259,0.375,0.125,0,TRUE,TRUE,0.42654028436019,0.292654028436019,0.686111111,230972,1600,0.5264,0.062780269058296,27.3,33.9,0.254874112,0.8815,0.0722748815165877,0.0414673046251994,0.331738437001595,0.746411483253589,"0","Mon","0"
2.292337963,"110010078072",68.053125,0.333333333,0.333333333,0,TRUE,TRUE,0.310657596371882,0.171201814058957,0.551094891,33913,976,0.5201,0.137440758293839,35.6,37.4,0.152796125,0,0,0.21978021978022,0.197802197802198,0.42032967032967,"1","Tue","0"
7.271053241,"110010023011",68.053125,0.25,0.125,0,TRUE,TRUE,0.613916256157635,0.336822660098522,0.548645938,106536,1886,0.4376,0,30.9,39.7,0.067408585,0.2014,0.0289408866995074,0.00871459694989107,0.311546840958606,0.814814814814815,"1","Tue","0"
1.157847222,"110010103003",55.60416667,0,0,0,FALSE,FALSE,0.438202247191011,0.154895666131621,0.353479853,40169,1166,0.4376,0.0727272727272727,35.4,39.6,0.185776488,0.1637,0.306581059390048,0.313725490196078,0.202614379084967,0.328976034858388,"0","Mon","0"
